object,token_strategy,hidden_state_layer,loss,test_score
main,consistent,10,2.1761956214904785,0.3333333432674408
main,consistent,11,2.12437105178833,0.3737373650074005
main,consistent,12,1.975760817527771,0.4680134654045105
main,max_image,10,2.1935791969299316,0.3400673270225525
main,max_image,11,1.9889370203018188,0.3973063826560974
main,max_image,12,1.7879207134246826,0.4848484992980957
main,max_obj,10,2.1659202575683594,0.36026936769485474
main,max_obj,11,2.1598949432373047,0.3905723989009857
main,max_obj,12,1.9010003805160522,0.42424243688583374
main,min_obj,10,2.162294626235962,0.31313130259513855
main,min_obj,11,1.9635926485061646,0.4040403962135315
main,min_obj,12,1.9843233823776245,0.4680134654045105
main,random_obj,10,1.8904669284820557,0.41750842332839966
main,random_obj,11,1.893489122390747,0.4612794518470764
main,random_obj,12,2.1056323051452637,0.4747474789619446
second,consistent,10,1.4414712190628052,0.5757575631141663
second,consistent,11,1.4556233882904053,0.6161616444587708
second,consistent,12,1.4718594551086426,0.6228955984115601
second,max_image,10,2.0382368564605713,0.3569023609161377
second,max_image,11,2.0082321166992188,0.3905723989009857
second,max_image,12,1.7094147205352783,0.5050504803657532
second,max_obj,10,1.3489269018173218,0.6060606241226196
second,max_obj,11,1.471747636795044,0.6565656661987305
second,max_obj,12,1.5076103210449219,0.6161616444587708
second,min_obj,10,1.4273850917816162,0.5993266105651855
second,min_obj,11,1.4381524324417114,0.6094276309013367
second,min_obj,12,1.390196442604065,0.6363636255264282
second,random_obj,10,1.428950548171997,0.6228955984115601
second,random_obj,11,1.575146198272705,0.6531986594200134
second,random_obj,12,1.6093580722808838,0.6262626051902771
